Zeit;Einstrahlung auf die Horizontale (kWh/m²);Diffusstrahlung auf die Horizontale (kWh/m²);Außentemperatur (°C);Freifläche 01-Fläche Süd: Sonnenhöhe (rad);Freifläche 01-Fläche Süd: Einstrahlung auf die geneigte Fläche (kWh/m²);Freifläche 01-Fläche Süd: Modultemperatur (°C);Eingespeiste Energie kWh
11.01. 22:00;0;0;6;-50,777;0;6,02;0
11.01. 23:00;0;0;5,9;-56,413;0;5,91;0
12.01. 00:00;0;0;5,5;-58,601;0;5,52;0
12.01. 01:00;0;0;4,3;-56,908;0;4,36;0
12.01. 02:00;0;0;4;-51,734;0;4,02;0
12.01. 03:00;0;0;4,3;-44,362;0;4,29;0
12.01. 04:00;0;0;4,4;-35,859;0;4,39;0
12.01. 05:00;0;0;5,3;-26,915;0;5,25;0
12.01. 06:00;0;0;5,4;-17,994;0;5,39;0
12.01. 07:00;0;0;5,6;-9,4576;0;5,59;0
12.01. 08:00;0;0;4,6;-1,6459;0;4,65;0
12.01. 09:00;0,046;0,033;4,4;5,0844;0,1076;6,41;8,1213
12.01. 10:00;0,066;0,061124;5,3;10,354;0,074389;6,75;48,442
12.01. 11:00;0,105;0,093032;5,8;13,79;0,12511;8,2;96,091
12.01. 12:00;0,163;0,11361;6,1;15,104;0,2617;11,13;169,24
12.01. 13:00;0,127;0,10376;6,4;14,17;0,17172;9,87;122,72
12.01. 14:00;0,06;0,057421;6,6;11,078;0,062129;7,93;43,364
12.01. 15:00;0,043;0,037517;6,2;6,0959;0,062514;7,45;17,638
12.01. 16:00;0;0;5,9;-0,41275;0;5,98;0
12.01. 17:00;0;0;5,4;-8,0661;0;5,43;0
12.01. 18:00;0;0;5,2;-16,503;0;5,21;0
12.01. 19:00;0;0;4,8;-25,383;0;4,82;0
12.01. 20:00;0;0;4,7;-34,352;0;4,71;0
12.01. 21:00;0;0;4,6;-42,97;0;4,61;0
12.01. 22:00;0;0;4,7;-50,598;0;4,7;0
12.01. 23:00;0;0;4,8;-56,239;0;4,8;0
13.01. 00:00;0;0;4,5;-58,438;0;4,52;0
13.01. 01:00;0;0;4,4;-56,775;0;4,41;0
13.01. 02:00;0;0;4,9;-51,632;0;4,87;0
13.01. 03:00;0;0;5,1;-44,282;0;5,09;0
13.01. 04:00;0;0;4,7;-35,79;0;4,72;0
13.01. 05:00;0;0;4,8;-26,85;0;4,8;0
13.01. 06:00;0;0;5;-17,925;0;4,99;0
13.01. 07:00;0;0;5,4;-9,3803;0;5,38;0
13.01. 08:00;0;0;5,6;-1,5559;0;5,59;0
13.01. 09:00;0,041;0,033183;5,5;5,1906;0,075647;6,91;13,43
13.01. 10:00;0,067;0,062026;5,6;10,478;0,075424;7,08;49,181
13.01. 11:00;0,041;0,040175;6,3;13,934;0,039849;7,09;20,26
13.01. 12:00;0,102;0,094549;7,2;15,264;0,11056;9,27;88,786
13.01. 13:00;0,039;0,038171;7,5;14,343;0,037963;8,3;18,015
13.01. 14:00;0,099;0,080289;7,1;11,258;0,14205;9,82;46,773
13.01. 15:00;0,045;0,039059;7,2;6,2796;0,065634;8,56;19,049
13.01. 16:00;0,001;0,00099;6,8;-0,22869;0,0009529;6,91;0
13.01. 17:00;0;0;6,3;-7,8832;0;6,33;0
13.01. 18:00;0;0;6,2;-16,322;0;6,21;0
13.01. 19:00;0;0;6,6;-25,203;0;6,58;0
13.01. 20:00;0;0;6,3;-34,171;0;6,31;0
13.01. 21:00;0;0;6,3;-42,787;0;6,3;0
13.01. 22:00;0;0;6,2;-50,414;0;6,2;0
13.01. 23:00;0;0;6,2;-56,059;0;6,2;0
14.01. 00:00;0;0;5,9;-58,267;0;5,92;0
14.01. 01:00;0;0;6,1;-56,635;0;6,09;0
14.01. 02:00;0;0;6;-51,523;0;6;0
14.01. 03:00;0;0;5,9;-44,195;0;5,9;0
14.01. 04:00;0;0;5,3;-35,715;0;5,33;0
14.01. 05:00;0;0;5,2;-26,778;0;5,21;0
14.01. 06:00;0;0;5,4;-17,85;0;5,39;0
14.01. 07:00;0;0;4,8;-9,2962;0;4,83;0
14.01. 08:00;0;0;4,4;-1,4589;0;4,42;0
14.01. 09:00;0,037;0,032145;4,5;5,3039;0,056496;5,55;12,851
14.01. 10:00;0,12;0,072872;4,9;10,61;0,24151;9,45;28,971
14.01. 11:00;0,179;0,091764;5,7;14,084;0,35994;12,65;204,91
14.01. 12:00;0,213;0,087936;5,9;15,43;0,44973;14,7;245,05
14.01. 13:00;0,184;0,095977;6,3;14,522;0,36312;13,55;207,7
14.01. 14:00;0,127;0,081008;5,9;11,445;0,23905;10,76;37,814
14.01. 15:00;0,062;0,043324;5,3;6,4687;0,13326;8,05;13,364
14.01. 16:00;0,005;0,00495;4,9;-0,039677;0,0047645;5,15;0,11279
14.01. 17:00;0;0;4,2;-7,6957;0;4,25;0
14.01. 18:00;0;0;3,7;-16,136;0;3,73;0
14.01. 19:00;0;0;3,4;-25,018;0;3,42;0
14.01. 20:00;0;0;3,4;-33,985;0;3,4;0
14.01. 21:00;0;0;3,1;-42,6;0;3,12;0
14.01. 22:00;0;0;3;-50,225;0;3,01;0
14.01. 23:00;0;0;3;-55,872;0;3;0
15.01. 00:00;0;0;3,2;-58,09;0;3,19;0
15.01. 01:00;0;0;3,3;-56,488;0;3,29;0
15.01. 02:00;0;0;3,4;-51,407;0;3,39;0
15.01. 03:00;0;0;3,6;-44,101;0;3,59;0
15.01. 04:00;0;0;3,4;-35,632;0;3,41;0
15.01. 05:00;0;0;3,3;-26,698;0;3,31;0
15.01. 06:00;0;0;3,3;-17,767;0;3,3;0
15.01. 07:00;0;0;3,1;-9,2052;0;3,11;0
15.01. 08:00;0;0;3,3;-1,355;0;3,29;0
15.01. 09:00;0,042;0,034575;3,7;5,4241;0,072841;5,03;14,857
15.01. 10:00;0,121;0,074303;4,1;10,749;0,23955;8,63;30,4
15.01. 11:00;0,191;0,084092;5,1;14,241;0,40549;12,89;223,3
15.01. 12:00;0,203;0,10118;5,4;15,604;0,39835;13,27;226,8
15.01. 13:00;0,076;0,073446;5,6;14,707;0,076001;7,42;61,693
15.01. 14:00;0,033;0,032331;5,6;11,637;0,032158;6,3;12,293
15.01. 15:00;0,019;0,018632;5,5;6,6632;0,018682;5,89;3,5496
15.01. 16:00;0,001;0,00099;5,3;0,15419;0,0009529;5,35;0
15.01. 17:00;0;0;5,1;-7,5039;0;5,11;0
15.01. 18:00;0;0;5,2;-15,946;0;5,2;0
15.01. 19:00;0;0;5,1;-24,829;0;5,11;0
15.01. 20:00;0;0;5,2;-33,796;0;5,2;0
15.01. 21:00;0;0;4,6;-42,409;0;4,63;0
